תקופה,שם לקוח,מקט,שם פריט,כמות,מחיר,מחיר תקליט,סהכ לפריט
אוקטובר 2025,"מינה טומיי ת""א",41,"עשב לימון,קג",12,19.9,לא,238.8
אוקטובר 2025,"מינה טומיי ת""א",65,"פטריות א-ת,קג",10,25.4,לא,254
אוקטובר 2025,"מינה טומיי ת""א",76,"פטריות ב-ת,קג",75,17.4,לא,1305
אוקטובר 2025,"מינה טומיי ת""א",55,"פטריות יער,קג",35,34,לא,1190
אוקטובר 2025,"מינה טומיי ת""א",69,"פטריות פורטבלה,קג",36,28,לא,1008
אוקטובר 2025,"מינה טומיי ת""א",1421,"פלפל אדום,קג",10,9.22,כן,92.29
אוקטובר 2025,"מינה טומיי ת""א",1421,"פלפל אדום,קג",19,10.8,כן,205.28
אוקטובר 2025,"מינה טומיי ת""א",1421,"פלפל אדום,קג",6,11.64,כן,69.86
אוקטובר 2025,"מינה טומיי ת""א",1421,"פלפל אדום,קג",8,11.85,כן,94.83
אוקטובר 2025,"מינה טומיי ת""א",1383,"פלפל ירוק חריף,קג",3,12.06,כן,36.19
אוקטובר 2025,"מינה טומיי ת""א",1383,"פלפל ירוק חריף,קג",5,14.16,כן,70.82
אוקטובר 2025,"מינה טומיי ת""א",1383,"פלפל ירוק חריף,קג",1,14.58,כן,14.58
אוקטובר 2025,"מינה טומיי ת""א",805,"פרח מאכל - אמנון ותמר,נספאק",4,13,לא,52
אוקטובר 2025,"מינה טומיי ת""א",119,"צ'ילי אדום,קג",26,20.5,לא,533
אוקטובר 2025,"מינה טומיי ת""א",888,"צנונית,חבילה",14,3.9,לא,54.6
אוקטובר 2025,"מינה טומיי ת""א",23,"רוקולה בייבי,קג",10,23,לא,230
אוקטובר 2025,"מינה טומיי ת""א",312,"שאלוט מקולף,קג",8,29,לא,232
אוקטובר 2025,"מינה טומיי ת""א",190,"שום קלוף מובחר,קג",36,27,לא,972
אוקטובר 2025,"מינה טומיי ת""א",634,"שעועית,קג",11,34.63,כן,381.03
אוקטובר 2025,"מינה טומיי ת""א",634,"שעועית,קג",4,35.68,כן,142.75
אוקטובר 2025,"מינה טומיי ת""א",634,"שעועית,קג",5,36.73,כן,183.69
אוקטובר 2025,"מינה טומיי ת""א",1491,"תפו""א אדום,קג",75,5.13,כן,385.08
אוקטובר 2025,"מינה טומיי ת""א",1506,"תפוח עץ גראני סמיט,קג",13,15.73,כן,204.61
אוקטובר 2025,"מינה טומיי ת""א",1506,"תפוח עץ גראני סמיט,קג",3,17.83,כן,53.51
אוקטובר 2025,"מינה טומיי ת""א",1505,"תפוח עץ פינק ליידי,קג",37,21.51,כן,796.03
אוקטובר 2025,"מינה טומיי ת""א",1264,"תרד בייבי שטוף,קג",95,22,לא,2090
אוקטובר 2025,פאט ויני חדרה,1512,"אגס,קג",3,23.08,כן,69.26
אוקטובר 2025,פאט ויני חדרה,1840,"אורגנו מהדרין,חבילה",138,5,לא,690
אוקטובר 2025,פאט ויני חדרה,219,"בזיליקום מהדרין,קג",35,21,לא,735
אוקטובר 2025,פאט ויני חדרה,110,"בטטה גדולה,קג",45,7.33,כן,330.27
אוקטובר 2025,פאט ויני חדרה,110,"בטטה גדולה,קג",24,9.38,כן,225.28
אוקטובר 2025,פאט ויני חדרה,837,"בצל אדום מקולף גלאט,קג",60,9.38,כן,563.22
אוקטובר 2025,פאט ויני חדרה,1456,"בצל ירוק מהדרין,חבילה",11,3.8,לא,41.8
אוקטובר 2025,פאט ויני חדרה,714,"בצל מקולף גלאט,קג",55,6.6,כן,363.24
